종목,세부종목,성별,선수명,생년,연령대,소속,FIS코드,Sector코드,시즌,대회명,대회카테고리,날짜,랭킹,포인트,FIS프로필URL
스노보드,하프파이프,여,최가온,2008,10대,세화여자고등학교,264594,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=264594&type=result
스노보드,슬로프스타일,여,최가온,2008,10대,세화여자고등학교,264594,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=264594&type=result
스노보드,빅에어,여,최가온,2008,10대,세화여자고등학교,264594,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=264594&type=result
스노보드,하프파이프,여,이나윤,2003,20대,경희대학교,220940,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=220940&type=result
스노보드,슬로프스타일,여,이나윤,2003,20대,경희대학교,220940,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=220940&type=result
스노보드,빅에어,여,이나윤,2003,20대,경희대학교,220940,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=220940&type=result
스노보드,하프파이프,남,이동헌,2006,10대,동국대학교,239116,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=239116&type=result
스노보드,슬로프스타일,남,이동헌,2006,10대,동국대학교,239116,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=239116&type=result
스노보드,빅에어,남,이동헌,2006,10대,동국대학교,239116,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=239116&type=result
스노보드,하프파이프,여,유승은,2008,10대,용인성복고등학교,261334,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=261334&type=result
스노보드,슬로프스타일,여,유승은,2008,10대,용인성복고등학교,261334,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=261334&type=result
스노보드,빅에어,여,유승은,2008,10대,용인성복고등학교,261334,SB,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=SB&competitorid=261334&type=result
스키점프,,남,최흥철,1981,40대,서울스키협회,2025,JP,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=JP&competitorid=2025&type=result
스키점프,,남,장선웅,2007,10대,상지대관령고등학교,261296,JP,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=JP&competitorid=261296&type=result
크로스컨트리,,남,이준서,2003,20대,단국대학교,3320231,CC,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=CC&competitorid=3320231&type=result
크로스컨트리,,여,변지영,1998,20대,경기도청,3320165,CC,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=CC&competitorid=3320165&type=result
크로스컨트리,,남,이진복,2002,20대,평창군청,3320219,CC,2024/25,,,,,https://www.fis-ski.com/DB/general/athlete-biography.html?sectorcode=CC&competitorid=3320219&type=result
